n,1_over_n,log2_n,12sqrt_n,n_pow_0_51,50sqrt_n,2pow32_n,nlog2n,100n2_plus_6n,n2_minus_324,2n3,n_log2_n,3_pow_n
113,0.008850,6.820179,127.561750,11.144742,531.507291,485331304448,770.680223,1277578.000000,12445.000000,2885794.000000,100545446818262.296875,821678234986022563018864019838310353230609147980939264.000000
114,0.008772,6.832890,128.124939,11.194932,533.853913,489626271744,778.949462,1300284.000000,12672.000000,2963088.000000,113397797330163.687500,2465034704958067348774225138576467596317220012174606336.000000
115,0.008696,6.845490,128.685664,11.244908,536.190265,493921239040,787.231356,1323190.000000,12901.000000,3041750.000000,127786967524048.406250,7395104114874203067169776178544793179075482331828453376.000000
116,0.008621,6.857981,129.243955,11.294671,538.516481,498216206336,795.525795,1346296.000000,13132.000000,3121792.000000,143884381856776.125000,22185312344622607840379860851880525683728017268412514304.000000
117,0.008547,6.870365,129.799846,11.344224,540.832691,502511173632,803.832672,1369602.000000,13365.000000,3203226.000000,161879247942552.250000,66555937033867818076621711820626161637190332896946159616.000000
118,0.008475,6.882643,130.353366,11.393570,543.139025,506806140928,812.151880,1393108.000000,13600.000000,3286064.000000,181980266495150.562500,199667811101603465118900876931909315739558436507421245440.000000
119,0.008403,6.894818,130.904545,11.442712,545.435606,511101108224,820.483314,1416814.000000,13837.000000,3370318.000000,204417493114422.781250,599003433304810438912845596675851270530625060788594802688.000000
120,0.008333,6.906891,131.453414,11.491651,547.722558,515396075520,828.826871,1440720.000000,14076.000000,3456000.000000,229444364319541.937500,1797010299914431055401678994746813871720176674767798009856.000000
121,0.008264,6.918863,132.000000,11.540391,550.000000,519691042816,837.182452,1464826.000000,14317.000000,3543122.000000,257339901159062.718750,5391030899743293514654180711281428201656128034434042560512.000000
122,0.008197,6.930737,132.544332,11.588935,552.268051,523986010112,845.549955,1489132.000000,14560.000000,3631696.000000,288411104718734.312500,16173092699229880543962542133844284604968384103302127681536.000000
123,0.008130,6.942515,133.086438,11.637283,554.526825,528280977408,853.929284,1513638.000000,14805.000000,3721734.000000,322995558905973.000000,48519278097689641631887626401532853814905152309906383044608.000000
124,0.008065,6.954196,133.626345,11.685440,556.776436,532575944704,862.320342,1538344.000000,15052.000000,3813248.000000,361464257019144.812500,145557834293068930470849178837254346828645025091809525628928.000000
